date,value
2006-01-01,80.9
2006-02-01,80.7
2006-03-01,81.2
2006-04-01,81.7
2006-05-01,81.5
2006-06-01,81.8
2006-07-01,81.1
2006-08-01,81.0
2006-09-01,81.2
2006-10-01,81.2
2006-11-01,81.2
2006-12-01,82.2
2007-01-01,81.7
2007-02-01,81.9
2007-03-01,82.1
2007-04-01,81.3
2007-05-01,81.4
2007-06-01,81.2
2007-07-01,82.6
2007-08-01,82.7
2007-09-01,82.9
2007-10-01,82.1
2007-11-01,82.2
2007-12-01,83.2
2008-01-01,82.4
2008-02-01,83.0
2008-03-01,82.5
2008-04-01,82.3
2008-05-01,81.7
2008-06-01,82.3
2008-07-01,82.4
2008-08-01,82.6
2008-09-01,82.8
2008-10-01,83.4
2008-11-01,83.8
2008-12-01,84.5
2009-01-01,84.1
2009-02-01,84.2
2009-03-01,84.2
2009-04-01,85.0
2009-05-01,85.2
2009-06-01,85.1
2009-07-01,84.7
2009-08-01,84.7
2009-09-01,85.2
2009-10-01,85.0
2009-11-01,85.4
2009-12-01,85.6
2010-01-01,85.5
2010-02-01,85.4
2010-03-01,85.4
2010-04-01,85.7
2010-05-01,85.6
2010-06-01,85.8
2010-07-01,85.7
2010-08-01,86.0
2010-09-01,86.3
2010-10-01,86.9
2010-11-01,87.0
2010-12-01,87.1
2011-01-01,86.4
2011-02-01,86.8
2011-03-01,87.0
2011-04-01,87.2
2011-05-01,87.4
2011-06-01,87.5
2011-07-01,87.4
2011-08-01,87.6
2011-09-01,87.6
2011-10-01,87.7
2011-11-01,88.1
2011-12-01,88.1
2012-01-01,88.2
2012-02-01,88.2
2012-03-01,88.2
2012-04-01,88.2
2012-05-01,88.3
2012-06-01,88.2
2012-07-01,88.3
2012-08-01,88.3
2012-09-01,88.5
2012-10-01,88.7
2012-11-01,88.9
2012-12-01,89.5
2013-01-01,89.6
2013-02-01,89.5
2013-03-01,89.6
2013-04-01,89.6
2013-05-01,90.0
2013-06-01,90.0
2013-07-01,90.1
2013-08-01,90.3
2013-09-01,90.2
2013-10-01,90.5
2013-11-01,90.7
2013-12-01,91.2
2014-01-01,91.4
2014-02-01,91.4
2014-03-01,91.5
2014-04-01,91.7
2014-05-01,91.9
2014-06-01,91.9
2014-07-01,92.1
2014-08-01,92.1
2014-09-01,92.1
2014-10-01,92.6
2014-11-01,92.7
2014-12-01,93.0
2015-01-01,92.8
2015-02-01,92.9
2015-03-01,92.9
2015-04-01,93.1
2015-05-01,93.6
2015-06-01,93.9
2015-07-01,93.8
2015-08-01,94.0
2015-09-01,94.0
2015-10-01,94.5
2015-11-01,94.5
2015-12-01,94.8
2016-01-01,94.8
2016-02-01,94.7
2016-03-01,94.4
2016-04-01,94.6
2016-05-01,94.7
2016-06-01,94.7
2016-07-01,94.8
2016-08-01,95.0
2016-09-01,95.1
2016-10-01,95.2
2016-11-01,95.1
2016-12-01,95.3
2017-01-01,95.0
2017-02-01,94.9
2017-03-01,94.9
2017-04-01,95.0
2017-05-01,94.9
2017-06-01,95.1
2017-07-01,95.6
2017-08-01,95.7
2017-09-01,96.1
2017-10-01,96.4
2017-11-01,96.3
2017-12-01,96.7
2018-01-01,97.0
2018-02-01,97.5
2018-03-01,97.4
2018-04-01,97.6
2018-05-01,97.7
2018-06-01,97.8
2018-07-01,97.8
2018-08-01,98.1
2018-09-01,98.1
2018-10-01,97.8
2018-11-01,98.1
2018-12-01,99.2
2019-01-01,99.4
2019-02-01,99.2
2019-03-01,99.5
2019-04-01,99.4
2019-05-01,99.6
2019-06-01,99.6
2019-07-01,100.1
2019-08-01,100.4
2019-09-01,100.4
2019-10-01,100.6
2019-11-01,100.8
2019-12-01,101.0
2020-01-01,101.1
2020-02-01,100.8
2020-03-01,99.8
2020-04-01,99.3
2020-05-01,98.7
2020-06-01,98.5
2020-07-01,99.3
2020-08-01,99.5
2020-09-01,99.2
2020-10-01,98.0
2020-11-01,99.1
2020-12-01,99.0
2021-01-01,99.1
2021-02-01,99.8
2021-03-01,99.9
2021-04-01,100.3
2021-05-01,100.3
2021-06-01,100.5
2021-07-01,100.9
2021-08-01,101.2
2021-09-01,101.5
2021-10-01,101.9
2021-11-01,102.0
2021-12-01,102.5
2022-01-01,103.2
2022-02-01,103.3
2022-03-01,103.4
2022-04-01,104.2
2022-05-01,104.6
2022-06-01,104.6
2022-07-01,104.7
2022-08-01,104.9
2022-09-01,105.2
2022-10-01,105.8
2022-11-01,106.1
2022-12-01,106.4
2023-01-01,106.9
2023-02-01,106.9
2023-03-01,107.1
2023-04-01,107.2
2023-05-01,107.5
2023-06-01,107.8
2023-07-01,107.9
2023-08-01,108.1
2023-09-01,108.3
2023-10-01,108.5
2023-11-01,108.6
2023-12-01,108.9
2024-01-01,109.1
2024-02-01,108.8
2024-03-01,109.0
2024-04-01,109.4
2024-05-01,109.5
2024-06-01,109.6
2024-07-01,109.9
2024-08-01,109.7
2024-09-01,109.8
2024-10-01,110.0
2024-11-01,110.7
2024-12-01,111.0
2025-01-01,111.6
2025-02-01,111.6
2025-03-01,111.8
2025-04-01,112.3
2025-05-01,112.7
2025-06-01,112.9
2025-07-01,113.0
2025-08-01,113.2
2025-09-01,113.3
2025-10-01,113.6
2025-11-01,114.1
2025-12-01,114.4
